iter	Passed	Remaining
664	2319	1168
665	2323	1165
666	2326	1161
667	2329	1157
668	2332	1154
669	2335	1150
670	2338	1146
671	2342	1143
672	2345	1139
673	2348	1135
674	2351	1132
675	2354	1128
676	2357	1124
677	2360	1121
678	2363	1117
679	2366	1113
680	2370	1110
681	2373	1106
682	2376	1102
683	2379	1099
684	2382	1095
685	2385	1091
686	2388	1088
687	2391	1084
688	2394	1080
689	2397	1077
690	2400	1073
691	2404	1070
692	2407	1066
693	2410	1062
694	2413	1059
695	2416	1055
696	2419	1052
697	2423	1048
698	2426	1044
699	2429	1041
700	2432	1037
701	2435	1033
702	2438	1030
703	2441	1026
704	2444	1023
705	2447	1019
706	2451	1015
707	2454	1012
708	2457	1008
709	2460	1005
710	2463	1001
711	2466	997
712	2469	994
713	2473	990
714	2476	986
715	2479	983
716	2482	979
717	2485	976
718	2488	972
719	2491	968
720	2494	965
721	2497	961
722	2500	958
723	2503	954
724	2507	951
725	2510	947
726	2513	944
727	2517	940
728	2520	936
729	2523	933
730	2526	929
731	2529	926
732	2532	922
733	2536	919
734	2539	915
735	2542	911
736	2545	908
737	2548	904
738	2551	901
739	2554	897
740	2557	894
741	2561	890
742	2564	886
743	2567	883
744	2570	879
745	2573	876
746	2576	872
747	2579	869
748	2583	865
749	2586	862
750	2589	858
751	2593	855
752	2596	851
753	2599	848
754	2602	844
755	2606	841
756	2609	837
757	2612	834
758	2615	830
759	2618	827
760	2622	823
761	2624	819
762	2628	816
763	2630	812
764	2633	809
765	2636	805
766	2639	801
767	2642	798
768	2646	794
769	2648	791
770	2652	787
771	2656	784
772	2659	781
773	2662	777
774	2665	773
775	2668	770
776	2672	766
777	2675	763
778	2678	759
779	2681	756
780	2684	752
781	2688	749
782	2691	745
783	2694	742
784	2697	738
785	2701	735
786	2704	731
787	2708	728
788	2711	725
789	2714	721
790	2717	718
791	2721	714
792	2724	711
793	2727	707
794	2730	703
795	2733	700
796	2736	696
797	2739	693
798	2742	689
799	2745	686
800	2748	682
801	2751	679
802	2754	675
803	2757	672
804	2761	668
805	2764	665
806	2767	661
807	2770	658
808	2774	654
809	2777	651
810	2780	647
811	2783	644
812	2786	640
813	2789	637
814	2792	633
815	2796	630
816	2799	626
817	2803	623
818	2806	620
819	2809	616
820	2812	613
821	2815	609
822	2818	606
823	2821	602
824	2825	599
825	2827	595
826	2831	592
827	2834	588
828	2837	585
829	2840	581
830	2843	578
831	2846	574
832	2849	571
833	2853	567
834	2856	564
835	2859	560
836	2862	557
837	2865	554
838	2868	550
839	2872	547
840	2875	543
841	2878	540
842	2881	536
843	2884	533
844	2887	529
845	2891	526
846	2894	522
847	2897	519
848	2900	515
849	2904	512
850	2908	509
851	2911	505
852	2914	502
853	2917	498
854	2920	495
855	2924	491
856	2927	488
857	2930	484
858	2933	481
859	2936	478
860	2939	474
861	2942	471
862	2945	467
863	2949	464
864	2952	460
865	2955	457
866	2959	453
867	2962	450
868	2965	446
869	2968	443
870	2971	440
871	2974	436
872	2977	433
873	2980	429
874	2983	426
875	2986	422
876	2990	419
877	2994	416
878	2997	412
879	3001	409
880	3004	405
881	3008	402
882	3011	399
883	3014	395
884	3017	392
885	3020	388
886	3023	385
887	3026	381
888	3029	378
889	3033	374
890	3036	371
891	3039	368
892	3042	364
893	3045	361
894	3048	357
895	3051	354
896	3054	350
897	3058	347
898	3061	343
899	3064	340
900	3067	337
901	3070	333
902	3073	330
903	3076	326
904	3079	323
905	3082	319
906	3086	316
907	3090	313
908	3093	309
909	3096	306
910	3099	302
911	3103	299
912	3107	296
913	3110	292
914	3113	289
915	3116	285
916	3119	282
917	3123	278
918	3126	275
919	3129	272
920	3132	268
921	3135	265
922	3138	261
923	3141	258
924	3144	254
925	3147	251
926	3150	248
927	3153	244
928	3156	241
929	3160	237
930	3162	234
931	3166	230
932	3169	227
933	3172	224
934	3175	220
935	3178	217
936	3180	213
937	3184	210
938	3187	207
939	3190	203
940	3193	200
941	3196	196
942	3199	193
943	3203	190
944	3206	186
945	3209	183
946	3212	179
947	3215	176
948	3218	172
949	3221	169
950	3225	166
951	3228	162
952	3230	159
953	3233	155
954	3236	152
955	3240	149
956	3243	145
957	3246	142
958	3249	138
959	3252	135
960	3255	132
961	3258	128
962	3261	125
963	3264	121
964	3267	118
965	3270	115
966	3273	111
967	3277	108
968	3280	104
969	3283	101
970	3286	98
971	3289	94
972	3292	91
973	3295	87
974	3298	84
975	3302	81
976	3306	77
977	3309	74
978	3312	71
979	3315	67
980	3318	64
981	3321	60
982	3325	57
983	3328	54
984	3332	50
985	3335	47
986	3339	43
987	3342	40
988	3345	37
989	3348	33
990	3351	30
991	3354	27
992	3357	23
993	3360	20
994	3363	16
995	3366	13
996	3369	10
997	3372	6
998	3375	3
999	3378	0
